Panel,Controller,Equipment,Control strategy,Points,Sequence of operations
LCP-HSL,DDC-HSL-01,"EX-2-1, EX-2-2",Primary valve modulates to secondary outlet setpoint,8,"Purpose: Transfer heat to the tempered loop; hold the secondary supply temperature. | Control: Modulate primary control valve `*.PV` (feedback `*.PVFB`) to hold the secondary outlet setpoint `*.S-OUT` from primary inlet `*.P-IN`. Lead/lag/standby across 2 exchangers (EX-2-1, EX-2-2): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Safeties: Freeze / high-temp limit on the secondary; valve-fault supervision; isolate on served-loop shutdown."
LCP-HSL,DDC-HSL-02,"CP-1-1, CP-1-2, CP-1-3",Lead/lag VFD to header Δp (variable flow),21,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-1-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CP-1-1, CP-1-2, CP-1-3): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSL,DDC-HSL-03,"CP-4-1, CP-4-2, CP-5-1",Lead/lag VFD to header Δp (variable flow),21,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-4-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CP-4-1, CP-4-2, CP-5-1): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSL,DDC-HSL-04,CP-5-2,Lead/lag VFD to header Δp (variable flow),7,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-5-2.SS`. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSL,DDC-HSL-05,"HP-1-1, HP-1-2, HP-1-3",Heating-season lead/lag to header Δp,21,"Purpose: Hot-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `HP-1-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (HP-1-1, HP-1-2, HP-1-3): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSL,DDC-HSL-06,EXT-1,Loop pressurisation,3,Purpose: Loop pressurisation / expansion set. | Control: Maintain fill pressure via makeup valve/pump; low-pressure & level alarms.
LCP-HSL,DDC-HSL-07,ST-1,OA tempering to setpoint,3,Purpose: Outdoor-air station: temper and deliver ventilation air to the loop. | Control: Modulate to the OA supply setpoint; enable with the served distribution; economizer-favourable in shoulder season.
LCP-HSL,DDC-HSL-08,"AC-1, AC-2, AC-3",Schedule + SAT coil control + economizer,29,"Purpose: Air-handling units AC-1, AC-2, AC-3: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. Constant-volume supply fan (fixed speed). | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-HSL,DDC-HSL-09,"AC-4, AC-5, AC-6",Schedule + SAT coil control + economizer,34,"Purpose: Air-handling units AC-4, AC-5, AC-6: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-HSL,DDC-HSL-10,AC-26,Schedule + SAT coil control + economizer,12,"Purpose: Air-handling unit AC-26: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-HSL,DDC-HSL-11,"FCU-L-N, FCU-L-NE, FCU-L-SE",Zone thermostat + schedule batch,21,Purpose: Fan-coil zone group: maintain space temperature. | Control: Zone thermostat cycles fan / modulates the coil valve; batch on/off and night-setback by the schedule; status/alarm to BMS.
LCP-HSL,DDC-HSL-12,"FCU-L-S, FCU-L-SW",Zone thermostat + schedule batch,14,Purpose: Fan-coil zone group: maintain space temperature. | Control: Zone thermostat cycles fan / modulates the coil valve; batch on/off and night-setback by the schedule; status/alarm to BMS.
LCP-HSL,DDC-HSL-13,"SF-6, EF-28, EF-32",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-HSL,DDC-HSL-14,"EF-33, EF-97, RF-7",Scheduled ventilation / exhaust; Start/stop + status/alarm,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`. | Purpose: Supervise RF-7: start/stop, status and alarm as available."
LCP-HSL,DDC-HSL-15,"RF-8, RF-9",Start/stop + status/alarm,6,"Purpose: Supervise RF-8, RF-9: start/stop, status and alarm as available."
LCP-HSL,DDC-HSL-16,POOL-FP,Start/stop + status/alarm,3,"Purpose: Supervise POOL-FP: start/stop, status and alarm as available."
LCP-HSL,DDC-HSL-17,MTR-AHU-KWH,Energy integration (monitor only),1,"Purpose: Energy metering (no control output). | Function: Integrate pulse/analog energy for trend, demand limiting and peak monitoring; feed the dispatch/peak-shave logic."
LCP-HSH,DDC-HSH-01,"EX-3-1, EX-3-2",Primary valve modulates to secondary outlet setpoint,8,"Purpose: Transfer heat to the tempered loop; hold the secondary supply temperature. | Control: Modulate primary control valve `*.PV` (feedback `*.PVFB`) to hold the secondary outlet setpoint `*.S-OUT` from primary inlet `*.P-IN`. Lead/lag/standby across 2 exchangers (EX-3-1, EX-3-2): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Safeties: Freeze / high-temp limit on the secondary; valve-fault supervision; isolate on served-loop shutdown."
LCP-HSH,DDC-HSH-02,"CP-2-1, CP-2-2, CP-2-3",Lead/lag VFD to header Δp (variable flow),21,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-2-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CP-2-1, CP-2-2, CP-2-3): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSH,DDC-HSH-03,"CP-3-1, CP-3-2, CP-6-1",Lead/lag VFD to header Δp (variable flow),21,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-3-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CP-3-1, CP-3-2, CP-6-1): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSH,DDC-HSH-04,CP-6-2,Lead/lag VFD to header Δp (variable flow),7,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-6-2.SS`. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSH,DDC-HSH-05,"HP-2-1, HP-2-2, HP-2-3",Heating-season lead/lag to header Δp,21,"Purpose: Hot-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `HP-2-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (HP-2-1, HP-2-2, HP-2-3): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-HSH,DDC-HSH-06,EXT-2,Loop pressurisation,3,Purpose: Loop pressurisation / expansion set. | Control: Maintain fill pressure via makeup valve/pump; low-pressure & level alarms.
LCP-HSH,DDC-HSH-07,ST-2,OA tempering to setpoint,3,Purpose: Outdoor-air station: temper and deliver ventilation air to the loop. | Control: Modulate to the OA supply setpoint; enable with the served distribution; economizer-favourable in shoulder season.
LCP-HSH,DDC-HSH-08,"EVU-11, EVU-12, EVU-13",Scheduled ventilation / exhaust,39,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-HSH,DDC-HSH-09,"EVU-14, EVU-15",Scheduled ventilation / exhaust,24,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-HSH,DDC-HSH-10,"FCU-H-N, FCU-H-NE, FCU-H-SE",Zone thermostat + schedule batch,21,Purpose: Fan-coil zone group: maintain space temperature. | Control: Zone thermostat cycles fan / modulates the coil valve; batch on/off and night-setback by the schedule; status/alarm to BMS.
LCP-HSH,DDC-HSH-11,"FCU-H-S, FCU-H-SW",Zone thermostat + schedule batch,14,Purpose: Fan-coil zone group: maintain space temperature. | Control: Zone thermostat cycles fan / modulates the coil valve; batch on/off and night-setback by the schedule; status/alarm to BMS.
LCP-3637,DDC-3637-01,R-1,Economic dispatch + CHW/CW reset + twin-screw staging,10,"Purpose: R-1 is the local water-cooled twin-screw chiller (Ebara RHS DW202M2, 370 kW, COP 4.5) that backs up / peak-shaves the DHC supply on the 36/37F loop. | Economic dispatch (DHC vs R-1): DHC is the default source. Stage the chiller only when its marginal cost beats DHC by >5% or DHC is unavailable: run when `DHC_cost > R-1_cost x 1.05` and loop PLR > 0.15. Enable via `R-1.SS`; trim capacity with `R-1.DMD`. During the DHC coincident-peak window the demand adder pushes DHC above R-1 -> peak-shave mode. Bumpless changeover through CHGV-1/2 (branch vs through-main); no compressor start without both evaporator and condenser flow proven. | Capacity, staging & resets: Twin 45 kW screws: one up to ~55% loop PLR, both above; balanced load-share; anti-short-cycle min-on/off; rotate lead daily. CHW reset (trim-and-respond) 7->10 C to most-open coil; hold via `R-1.CHWST` (return `R-1.CHWRT`). Condenser-water reset = wet-bulb + 3.5 C, floored at 19 C (R-407C min-lift), tracked on `R-1.CWRT` via CT-3/CDP-3. | Safeties, backup & monitoring: Flow-proof + freeze + hi-discharge/low-suction interlocks; trip on `R-1.TRIP`; honour `R-1.LR` (local/remote). Weekly readiness exercise (Mon 10:00) when otherwise idle; live COP / kW-per-RT and evap/cond approach for FDD (low-DT, condenser fouling)."
LCP-3637,DDC-3637-02,HEX-1,Primary valve modulates to secondary outlet setpoint,7,Purpose: Transfer heat to the tempered loop; hold the secondary supply temperature. | Control: Modulate primary control valve `*.PV` (feedback `*.PVFB`) to hold the secondary outlet setpoint `*.S-OUT` from primary inlet `*.P-IN`. | Safeties: Freeze / high-temp limit on the secondary; valve-fault supervision; isolate on served-loop shutdown.
LCP-3637,DDC-3637-03,"CP-7-1, CP-7-2, CP-8-1",Lead/lag VFD to header Δp (variable flow),21,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-7-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 3 pumps (CP-7-1, CP-7-2, CP-8-1): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-3637,DDC-3637-04,"CP-8-2, CP-8-3",Lead/lag VFD to header Δp (variable flow),14,"Purpose: Chilled-water distribution pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `CP-8-2.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 2 pumps (CP-8-2, CP-8-3): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-3637,DDC-3637-05,"HP-4-1, HP-4-2",Buffer-loop lead/lag to Δp,14,"Purpose: Secondary buffer-loop pumps: maintain loop flow for the served load. | Sequencing: Start/stop on system demand via `HP-4-1.SS`, one pump at a time with flow/Δp proof. Lead/lag/standby across 2 pumps (HP-4-1, HP-4-2): stage on demand, rotate lead on equal run-hours, prove each start before staging the next. | Modulation & reset: VFD (`*.SPD`, feedback `*.SPDFB`) modulates to hold the header differential pressure; reset the Δp setpoint down to the most-open served valve (variable-flow). | Safeties & monitoring: Prove flow before loading; trip on `*.TRIP`; low-Δp / no-flow and pump-fault alarms; protect duty OR standby availability at all times."
LCP-3637,DDC-3637-06,"EX4, EXT-3",Primary valve modulates to secondary outlet setpoint; Loop pressurisation,7,Purpose: Transfer heat to the tempered loop; hold the secondary supply temperature. | Control: Modulate primary control valve `*.PV` (feedback `*.PVFB`) to hold the secondary outlet setpoint `*.S-OUT` from primary inlet `*.P-IN`. | Safeties: Freeze / high-temp limit on the secondary; valve-fault supervision; isolate on served-loop shutdown. | Purpose: Loop pressurisation / expansion set. | Control: Maintain fill pressure via makeup valve/pump; low-pressure & level alarms.
LCP-3637,DDC-3637-07,"CHGV-1, CHGV-2",Bumpless source transfer + flow proof,4,Purpose: Source-changeover valve set (R-1 branch vs DHC through-main). | Control: Sequenced bumpless transfer with flow proof before compressor enable; position feedback and end-switch supervision.
LCP-3637,DDC-3637-08,"AC-22, AC-23, AC-24",Schedule + SAT coil control + economizer,38,"Purpose: Air-handling units AC-22, AC-23, AC-24: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-3637,DDC-3637-09,"AC-25, AC-27",Schedule + SAT coil control + economizer,26,"Purpose: Air-handling units AC-25, AC-27: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
LCP-3637,DDC-3637-10,FCU-3637,Zone thermostat + schedule batch,7,Purpose: Fan-coil zone group: maintain space temperature. | Control: Zone thermostat cycles fan / modulates the coil valve; batch on/off and night-setback by the schedule; status/alarm to BMS.
LCP-3637,DDC-3637-11,"EF-82, EF-83, EF-84",Scheduled ventilation / exhaust,11,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-3637,DDC-3637-12,"EF-85, EF-86, EF-89",Scheduled ventilation / exhaust,9,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-3637,DDC-3637-13,EF-98,Scheduled ventilation / exhaust,3,"Purpose: Ventilation / exhaust: run to the occupancy schedule and IAQ demand. | Control: Start/stop `*.SS` on schedule; interlock with associated AHU / fire mode; prove `*.RUN`, alarm `*.TRIP`."
LCP-1F,DDC-1F-01,AC-7,Schedule + SAT coil control + economizer,12,"Purpose: Air-handling unit AC-7: maintain supply-air temperature and space conditions on the occupancy schedule. | Start / fan control: Start/stop `*.SS` on the occupancy time-program; prove `*.RUN`, alarm `*.TRIP`. VFD supply fan `*.SPD` (feedback `*.SPDFB`) to duct static / demand. | Temperature control: Cooling coil `*.CCV` modulates to hold supply-air temp `*.SAT` (return `*.RAT`). Heating coil `*.HCV` sequenced with a deadband (no simultaneous heat/cool). Shoulder-season (Apr–May): drive to OA economizer / free-cooling — 100% OA, cooling coil closed — per the cutover plan. | Safeties & monitoring: Freeze-stat, fan-status proof, filter-DP and smoke/fire interlock (shut fan, spring-return dampers); high supply-temp alarm `*.SAT`."
